CCN1CCN(c2ccc(C(=O)NCc3ccccc3OC)nc2)CC1 MolPort-043-943-386
Cc1cccc(C2CC(NCc3ccccc3C)C2)c1 MolPort-013-055-712
Cc1ccc(C(C)NC(C)c2ccc(C)o2)c(C)c1 MolPort-012-019-640
CCC(=O)Nc1ccc(C(=O)NC2CC2)cc1 MolPort-020-341-598
O=C(NC1CCc2[nH]cnc2C1)N1CCC(Cc2cc(F)cc(F)c2)CC1 MolPort-044-378-607
Cc1[nH]c(C2CNCCO2)nc1-c1ccccc1F MolPort-037-932-231
CCCc1nc(NCC)c(C)c(Sc2nnc(C)n2C)n1 MolPort-023-908-725
Cc1n[nH]c(C(C)C)c1C(=O)Nc1nc(C2CCC2)cs1 MolPort-039-668-731
CC(C)(C)CC(O)Cc1ccc(Cl)cc1Cl MolPort-020-667-172
Cc1cc(C(=O)O)ccc1-c1cc(F)cc(F)c1 MolPort-015-153-149
Cc1ccc(S(=O)(=O)N2CCN(c3ncccn3)CC2)c(C)c1 MolPort-002-106-624
Cc1oc2ncnc(NC(=O)C3COC(C)C3)c2c1C MolPort-039-685-064
Cc1ccc(CCC(=O)Nc2nc(C(=O)NC(C)(C)C)cs2)cc1C 343878962
CNCC1CCN(C(=O)CC(C)c2ccc(OC)cc2)C1 MolPort-045-309-266
Cc1cc(N2CCOCC2)ccc1NC(=O)COc1ccc(F)cc1 MolPort-007-403-979
